Slug,Admin URL,Title,Lead organisations,Supporting organisations,Document type,Content sub-type,State,History-mode applied,New lead organisations,New supporting organisations
/government/publications/european-regional-development-fund-counter-fraud,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1432294,European Regional Development Fund: counter fraud,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/business-rates-levy-and-safety-net-calculator-2021-to-2022,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1445010,Business rates levy and safety net calculator 2021 to 2022,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/revised-best-value-statutory-guidance,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1561545,"Revised best value statutory guidance on working with voluntary and community groups, and small businesses","Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/community-ownership-fund-explanatory-note-on-the-assessment-and-decision-making-process,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1581107,Community Ownership Fund: explanatory note on decision-making,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
/government/publications/european-structural-and-investment-funds-coronavirus-covid-19-response,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1574631,European Structural and Investment Funds: Coronavirus (COVID-19) Response,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Work and Pensions | Department for Environment, Food & Rural Affairs | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-work-pensions,/government/organisations/department-for-environment-food-rural-affairs","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/statistical-data-sets/live-tables-on-energy-performance-of-buildings-certificates,http://whitehall-admin.publishing.service.gov.uk/government/admin/statistical-data-sets/1581984,Live tables on Energy Performance of Buildings Certificates,"Department for Levelling Up, Housing and Communities ","Ministry of Housing, Communities & Local Government (2018 to 2021)",Statistical Data Set,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/housing-guarantee-scheme-rules-affordable-homes-guarantee-scheme-2020,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1532319,Housing guarantee scheme rules: Affordable Homes Guarantee Scheme 2020,"Ministry of Housing, Communities & Local Government (2018 to 2021) | Homes England | Department for Levelling Up, Housing and Communities",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/homes-england","/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/collections/new-levelling-up-and-community-investments,http://whitehall-admin.publishing.service.gov.uk/government/admin/collections/1582617,New levelling up and community investments,"Department for Levelling Up, Housing and Communities  | HM Treasury","Ministry of Housing, Communities & Local Government (2018 to 2021)",Document Collection,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/how-to-rent,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1583123,How to rent,"Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities & Local Government (2018 to 2021) | Department for Levelling Up, Housing and Communities",Publication,Guidance,force published,no,/government/organisations/ministry-of-housing-communities-local-government,"/government/organisations/department-for-levelling-up-housing-and-communities,/government/organisations/ministry-of-housing-communities-and-local-government-2018-2021"
/government/publications/limit-on-annual-rent-increases-2024-25-from-april-2024,http://whitehall-admin.publishing.service.gov.uk/government/admin/publications/1540787,Limit on annual rent increases 2024-25 – from April 2024,"Regulator of Social Housing | Department for Levelling Up, Housing and Communities ",,Publication,Guidance,published,no,"/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/regulator-of-social-housing",/government/organisations/department-for-levelling-up-housing-and-communities
/guidance/community-ownership-fund-round-4-how-to-express-your-interest-in-applying,http://whitehall-admin.publishing.service.gov.uk/government/admin/detailed-guides/1582623,Community Ownership Fund Round 4: how to express your interest in applying,"Department for Levelling Up, Housing and Communities ",,Detailed Guide,N/A,published,no,/government/organisations/ministry-of-housing-communities-local-government,/government/organisations/department-for-levelling-up-housing-and-communities
