Producing organisation(s),First draft created,Edition states,Title,Author(s),Admin URL,Type
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Guidelines on the meaning of research and development for tax purposes.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5290,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Guidelines for managing programmes: understanding programmes and programme management.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5291,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Guidelines for managing projects: how to organise, plan and control projects.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5292,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Union modernisation fund - round 2. GMB - developing our management structures.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5293,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Union modernisation fund - round 2. Prospect: building capacity within the defence sector to develop and sustain Prospect equality representatives.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5294,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Draft guidance to the Director of Fair Access to Higher Education.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5295,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Government response: consultation on registration of charges created by companies and limited liability partnerships.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5296,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Impact assessment: registration of charges.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5297,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Skills conditionality - public consultation.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5298,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Global business opportunities direct to you: www.ukti.gov.uk.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5299,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Manufacturing in the UK: an economic analysis of the sector.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5300,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Manufacturing in the UK: supplementary analysis.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5301,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,UK Government response: European Commission's green paper on audit.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5302,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Strength and opportunity: the landscape of the medical technology, medical biotechnology and industrial biotechnology sectors in the UK. Annual update - December 2010.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5303,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Growth review framework for advanced manufacturing.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5304,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Initial Assessment by the UK national contact point for the OECD guidelines for multinational enterprises: complaint from an international trade union against a UK registered multinational operating in Bangladesh.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5305,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Implementation of EU Directive 2008/122/EC on Timeshare, Long-Term Holiday Products, Resale and Exchange Contracts: Government response to consultation and final impact assessment.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5306,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,BIS' innovation infrastructure - working towards an innovation system: project report.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5307,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,BIS' innovation infrastructure report: NI6 annexes.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5308,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,ICT services framework: advice and guidance for the further education and skills sector.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5309,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,BIS structural reforms: transparency consultation.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5310,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Impact assessment template: publication arrangements.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5311,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Impact assessment template: quick start guide.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5312,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Government and industry partnership initiative to raise consumer rights awareness.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5313,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Self- and co- regulation: the register of injectable cosmetic providers.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5314,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Self-regulation - new rights for credit and store card users.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5315,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Self-regulation - voluntary industry initiative to combat alcohol misuse.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5316,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Voluntary - salt reduction strategy reformulation targets.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5317,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Better regulation made simple: less regulation, better regulation and regulation as a last resort.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5318,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,"Reducing regulation made simple: less regulation, better regulation and regulation as a last resort. A summary guide for ministers.",Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5319,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Self - and co - regulation: the Advertising Standards Authority.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5320,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Call for evidence: independent review of intellectual property and growth.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5321,Publication
"Department for Business, Innovation & Skills",29/08/2012 10:37:00,draft,Higher education funding for 2011-12 and beyond.,Automatic Data Importer,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/5322,Publication
