policies_to_remove,policies_to_add,slug
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,performance-indicators-in-primary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,accountability-and-governance-research-priorities-and-questions
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,school-performance-and-parental-choice-of-school
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,families-of-schools-2011-greater-manchester-primary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,families-of-schools-2011-london-primary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,families-of-schools-2011-greater-manchester-secondary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,families-of-schools-2011-black-country-secondary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,preparing-children-for-a-successful-future-through-the-ebacc
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,lord-nash-addresses-the-national-governors-association-nga-conference
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,lord-hill-to-the-national-conference-for-senior-leaders-of-catholic-secondary-education
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,michael-gove-to-the-education-world-forum
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,michael-gove-on-the-moral-purpose-of-school-reform
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,lord-hill-to-the-iaa-national-conference-and-annual-general-meeting-academies-the-new-orthodoxy
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,nick-gibb-to-the-north-of-england-education-conference
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,michael-gove-to-the-national-college-annual-conference-birmingham
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,primary-and-16-to-19-assessment-and-accountability
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,reforming-the-accountability-system-for-secondary-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,lord-hill-and-the-minister-for-civil-society-announce-proposals-for-a-principal-regulator-for-foundation-and-voluntary-schools-academies-and-sixth-fo
5e11d7d1-7631-11e4-a3cb-005056011aef,453affe4-5ebb-4f44-9f0a-44cfd32dc934,national-pupil-database-requests-received
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,funding-for-children-and-young-people-with-send
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,savings-to-the-education-services-grant-for-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,academies-funding-simplifying-the-administration
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,fairer-schools-funding-2015-to-2016
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,school-and-early-years-finance-regulations-2013
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,review-of-efficiency-in-the-schools-system
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,schools-funding-settlement-2013-to-2014
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,equality-impact-assessment-new-funding-formula-for-schools
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,michael-gove-announcement-on-education-funding
5e11d7d1-7631-11e4-a3cb-005056011aef,17e4ab26-ee1f-4383-a345-d165c0b75fbf,review-of-efficiency-in-the-schools-system
